custid,test
3063569,10
3063971,10
3065752,10
3071939,10
3074037,10
3075932,10
3082113,10
3084209,10
3094675,10
3094969,10
3096122,10
3096895,10
3104062,10
3105237,10
3105599,10
3105826,10
3106257,10
3109761,10
3115756,10
3116724,10
3117245,10
3120762,10
3121526,10
3122856,10
3124077,10
3125063,10
3128865,10
3133128,10
3133372,10
3137144,10
3140428,10
3142872,10
3147418,10
3147744,10
3155174,10
3155552,10
3157148,10
3158652,10
3160792,10
3162192,10
3167614,10
3174502,10
3175315,10
3175668,10
3177195,10
3181107,10
3181688,10
3189626,10
3189668,10
3196035,10
3199690,10
3199925,10
3206938,10
3207365,10
3210521,10
3227905,10
3228997,10
3231703,10
3237188,10
3237973,10
3239671,10
3245040,10
3248057,10
3260447,10
3270008,10
3270551,10
3275199,10
3275437,10
3280774,10
3281454,10
3287196,10
3288741,10
3292797,10
3293944,10
3304205,10
3306692,10
3313916,10
3315384,10
3322096,10
3323745,10
3328683,10
3329892,10
3333436,10
3335105,10
3335137,10
3338864,10
3340419,10
3341321,10
3347537,10
3350709,10
3350789,10
3352649,10
3356119,10
3357088,10
3359480,10
3362034,10
3366097,10
3372093,10
3374388,10
3375394,10
3381868,10
3382804,10
3384100,10
3384926,10
3386334,10
3396347,10
3398153,10
3402094,10
3402440,10
3403409,10
3411241,10
3412461,10
3414373,10
3414814,10
3417120,10
3418969,10
3420852,10
3429060,10
3430575,10
3431064,10
3431273,10
3443437,10
3443528,10
3443719,10
3444596,10
3446196,10
3448260,10
3448379,10
3451080,10
3452377,10
3458258,10
3458487,10
3469908,10
3470699,10
3470915,10
3475364,10
3475811,10
3479675,10
3484802,10
3497127,10
3498502,10
3498570,10
3500586,10
3506876,10
3509134,10
3509366,10
3512336,10
3512607,10
3516570,10
3518525,10
3518961,10
3519818,10
3521645,10
3523145,10
3525559,10
3527681,10
3528681,10
3529134,10
3530119,10
3535774,10
3537743,10
3538436,10
3538771,10
3543544,10
3544996,10
3548589,10
3554885,10
3556042,10
3558639,10
3562576,10
3562630,10
3567123,10
3568622,10
3568944,10
3575114,10
3575757,10
3586324,10
3586582,10
3590323,10
3592202,10
3593059,10
3595678,10
3600639,10
3600681,10
3601417,10
3603073,10
3609093,10
3611054,10
3614132,10
3615346,10
3616081,10
3617119,10
3618290,10
3619326,10
3620077,10
3623111,10
3624356,10
3624717,10
3626364,10
3630146,10
3631231,10
3635996,10
3637590,10
3639746,10
3641895,10
3641957,10
3648232,10
3654424,10
3657173,10
3664042,10
3664293,10
3666132,10
3667361,10
3678238,10
3681418,10
3683490,10
3692032,10
3694761,10
3701774,10
3703913,10
3706013,10
3706787,10
3707072,10
3712743,10
3713257,10
3714744,10
3714790,10
3715147,10
3715615,10
3715652,10
3716451,10
3719635,10
3720927,10
3721813,10
3722022,10
3723037,10
3725233,10
3725806,10
3736692,10
3737052,10
3737695,10
3741043,10
3744192,10
3746378,10
3747575,10
3752806,10
3753024,10
3755772,10
3761656,10
3767019,10
3773055,10
3773491,10
3775104,10
3785926,10
3791852,10
3794802,10
3796876,10
3797912,10
3798407,10
3799376,10
3801433,10
3812485,10
3824274,10
3829721,10
3830208,10
3834528,10
3836506,10
3837904,10
3838383,10
3845148,10
3845171,10
3846275,10
3846535,10
3846656,10
3847291,10
3852839,10
3852941,10
3856728,10
3857913,10
3858207,10
3860267,10
3861311,10
3862944,10
3865938,10
3871258,10
3872645,10
3874254,10
3877638,10
3878208,10
3883250,10
3886987,10
3891487,10
3892775,10
3894542,10
3897405,10
3903675,10
3908035,10
3910822,10
3922701,10
3924788,10
3926634,10
3928565,10
3929790,10
3932872,10
3936141,10
3938551,10
3942055,10
3943440,10
3947346,10
3956305,10
3957557,10
3959320,10
3959526,10
3960666,10
3962995,10
3966509,10
3967080,10
3968495,10
3969046,10
3970275,10
3974849,10
3976430,10
3981476,10
3983683,10
3987281,10
3987916,10
3988797,10
3991690,10
3993615,10
4001716,10
4005522,10
4005869,10
4009646,10
4009926,10
4013816,10
4014425,10
4018996,10
4021770,10
4027558,10
4028568,10
4032278,10
4048329,10
4049063,10
4049449,10
4051497,10
4052565,10
4053183,10
4054773,10
4055030,10
4056405,10
4057449,10
4062444,10
4064042,10
4070996,10
4072154,10
4072516,10
4075083,10
4075605,10
4078710,10
4083447,10
4087129,10
4089070,10
4098918,10
4099537,10
4106648,10
4106890,10
4116563,10
4118398,10
4122115,10
4125652,10
4132028,10
4142961,10
4145512,10
4145728,10
4146224,10
4147421,10
4148638,10
4149642,10
4151110,10
4156730,10
4158352,10
4160496,10
4163207,10
4165762,10
4167291,10
4168428,10
4173056,10
4173539,10
4173823,10
4173925,10
4178245,10
4181791,10
4183239,10
4188280,10
4192889,10
4195388,10
4196171,10
4196374,10
4198483,10
4203294,10
4204685,10
4208937,10
4210014,10
4212502,10
4212538,10
4216269,10
4216854,10
4219592,10
4221625,10
4222889,10
4225086,10
4225315,10
4228215,10
4231976,10
4233882,10
4235015,10
4235724,10
4236509,10
4239694,10
4240250,10
4251658,10
4256919,10
4257579,10
4258785,10
4259859,10
4263034,10
4263512,10
4266962,10
4268967,10
4272449,10
4282740,10
4290716,10
4294834,10
4295221,10
4295597,10
4296097,10
4296915,10
4299316,10
4304734,10
4307779,10
4309648,10
4310526,10
4311641,10
4313407,10
