custid,test
1109080,30
1109323,31
1110995,31
1115173,30
1116335,31
1117101,30
1117749,30
1118294,30
1127791,30
1129684,30
1130017,30
1131819,31
1135730,31
1137636,30
1138958,31
1139742,31
1141345,30
1145303,31
1145378,31
1146652,31
1150333,31
1151609,30
1155970,30
1162987,31
1163888,31
1164299,31
1166167,30
1171142,30
1177769,30
1178443,31
1178978,30
1180063,31
1180237,30
1187716,31
1191832,31
1192301,31
1193902,30
1197033,30
1198560,30
1200084,30
1202714,30
1203008,30
1206737,30
1207519,30
1208029,30
1218850,30
1222172,31
1227302,30
1230451,30
1233536,30
1233815,30
1237565,30
1240417,31
1247788,30
1250504,30
1252668,31
1259096,30
1260780,30
1261368,31
1262754,31
1264921,30
1265233,30
1266581,30
1266663,31
1269859,30
1271473,31
1273802,31
1277615,31
1277962,30
1279266,30
1280518,31
1289538,31
1289723,30
1291645,30
1292622,30
1296341,31
1296816,30
1299767,31
1303430,30
1315283,30
1315524,30
1315529,31
1320414,30
1322381,31
1324824,30
1332911,31
1333198,31
1336199,31
1336207,31
1336399,30
1339929,30
1345102,30
1346707,30
1348822,31
1354229,31
1354321,30
1354408,30
1359164,30
1360201,30
1360296,31
1360877,31
1362722,30
1363107,30
1363900,31
1366636,30
1368046,30
1368586,31
1369390,30
1371092,31
1372160,30
1372196,30
1374371,30
1375835,30
1375856,30
1382843,30
1384748,30
1389063,30
1391653,30
1392192,31
1395531,30
1398679,30
1403647,30
1404602,31
1411462,30
1427365,30
1430352,31
1431986,30
1435329,30
1437315,30
1437801,31
1439533,31
1443624,30
1448622,31
1448754,30
1449412,30
1451892,31
1452720,30
1453383,30
1454106,31
1455177,30
1456378,30
1457788,31
1459223,30
1459637,31
1460554,30
1463322,30
1463414,31
1463618,30
1466772,31
1467662,30
1468161,31
1468452,31
1470788,30
1473372,30
1475466,31
1476540,30
1481127,30
1483444,31
1485337,31
1489776,31
1490252,31
1492789,30
1499046,31
1499129,30
1499879,30
1499964,30
1504988,30
1509711,31
1510942,30
1512581,30
1515268,30
1515275,30
1515307,31
1516541,31
1522598,30
1525651,31
1527338,30
1527846,30
1528138,30
1531904,30
1532543,30
1534874,31
1535084,31
1543223,31
1544429,31
1556361,30
1557525,31
1565351,30
1572422,30
1572586,30
1572977,31
1575562,30
1577895,31
1580195,30
1580729,30
1580893,30
1581744,30
1589593,30
1589888,31
1591353,31
1592325,30
1595905,31
1598187,30
1598851,31
1600111,31
1600825,31
1602626,31
1603248,30
1603449,30
1612256,30
1612769,31
1614015,31
1615856,31
1616364,30
1619985,30
1621859,30
1623384,31
1623529,31
1626155,31
1629958,30
1640704,30
1648191,30
1649430,30
1649691,30
1650234,30
1652800,31
1660939,30
1664403,30
1668826,31
1670747,31
1674451,30
1674880,31
1678261,30
1682627,30
1684222,31
1684556,31
1685931,31
1689993,30
1692817,31
1696161,30
1697589,31
1697987,30
1699957,31
1700524,30
1705614,30
1712157,31
1713081,30
1718396,30
1718851,31
1721008,31
1725685,31
1726465,30
1726940,31
1728856,31
1731638,30
1741481,30
1743748,31
1745813,31
1747819,30
1748506,31
1748807,31
1749343,30
1750548,31
1751137,31
1755180,30
1755502,31
1755736,31
1767521,30
1778367,30
1780984,30
1783876,30
1785183,30
1788850,31
1790350,30
1790799,30
1791609,31
1792845,31
1793689,31
1794588,30
1804478,30
1809675,30
1809839,30
1809912,30
1810095,31
1810174,31
1819591,30
1820667,31
1821149,30
1821445,30
1821696,31
1823226,31
1824609,30
1830868,30
1831185,30
1833944,31
1834884,30
1845663,30
1845675,30
1850400,31
1852724,30
1856420,30
1859089,31
1859420,31
1859773,30
1861634,30
1863473,30
1864591,31
1867305,30
1869106,31
1870381,31
1875621,31
1877391,30
1878663,30
1880554,31
1881919,31
1882338,31
1894117,30
1894159,30
1899375,31
1900805,31
1901393,31
1901538,30
1905018,30
1908739,31
1911287,30
1912261,31
1913016,30
1914028,31
1920557,31
1920765,30
1922704,30
1929136,30
1929533,31
1930767,31
1931701,30
1937235,30
1949908,31
1955318,30
1957098,30
1957611,31
1957819,30
1959318,30
1965916,31
1966149,30
1967371,30
1968438,30
1969933,31
1973548,31
1973705,31
1986250,31
1986613,31
1989891,31
1995104,30
1997799,30
1999336,31
2002317,31
2004490,30
2004589,30
2009851,30
2009874,31
2011586,30
2016665,30
2018725,31
2032077,30
2037130,31
2037498,30
2037547,31
2041330,31
2045882,31
2048649,30
2050114,30
